 Placa ; Tipo de Vehiculo ; Marca ; Modelo 
DWZV-13;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4
DRYY-84;CAMIONETA;NISSAN;TERRANO AXS TURBO DSEL 4X
CBRB-79;CAMIONETA;TOYOTA;HILUX DIESEL 4X4 A/A
FVRH-56;CAMIONETA;HUANGHAI;STEED 2.2
BBTW-70;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRL 4X
HLWT-75;CAMIONETA;FORD;RANGER DIESEL 4X4 XLT
FCLH-17;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4
HHKR-10;CAMIONETA;MITSUBISHI;L200 KATANA CRM
JGJZ-64;STATION WAGON;GREAT WALL;HAVAL NEW H3 2.0
HBVD-76;CAMIONETA;MAHINDRA;GENIO PU DC 4X4 MT FULL C
GSFX-17;CAMIONETA;DODGE;NEW RAM 1500 LARAMIE CC S
DDFX-18;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4
FBBZ-34;CAMIONETA;CHEVROLET;SILVERADO LT II EC 5.3 4W
CLHR-92;CAMIONETA;NISSAN;TERRANO DC TDI 4X4 DX SV
HRLG-79;STATION WAGON;CHEVROLET;TAHOE LT IV SU 5.3L 4WD
BZSV-22;CAMIONETA;TOYOTA;HILUX DIESEL 4X2 A/A
DZJF-18;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRT 4X
CPZV-26;CAMIONETA;DODGE;DAKOTA CREW CAB LARAMIE L
DKGF-35;CAMIONETA;TOYOTA;HILUX DIESEL 4X2 A/A
CYXF-14;AUTOMOVIL;HYUNDAI;ACCENT MC 1.4 GL PS
BLZT-83;CAMIONETA;MAHINDRA;PIK-UP XL D/C 4X4 ABS CRD
CFVP-83;CAMIONETA;TOYOTA;TUNDRA  4X4
HGSR-65;CAMIONETA;FIAT;STRADA 1.4 D/C MT WORKING
GRVC-39;CASA RODANTE;FORD;CHALLENGER TRIGANO FD2 2.4
GFLC-47;CAMIONETA;MAZDA;BT-50 D/C SDX HIGH 6AT 4X
GBGB-91;CAMIONETA;DODGE;NEW RAM 2500 CREW CAB LAR
FPKL-79;STATION WAGON;FORD;ECOSPORT TITANIUM 1.6L
DLBX-82;CAMIONETA;NISSAN;TERRANO DX TURBO DIESEL 4
DRTR-56;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4
HGVG-29;CAMIONETA;MITSUBISHI;L200 KATANA CRT
HGVG-28;CAMIONETA;MITSUBISHI;L200 KATANA CRT
GZYR-28;CAMIONETA;VOLKSWAGEN;AMAROK TRENDLINE 4X4 AT L
BVKF-21;CAMIONETA;NISSAN;NAVARA 4X2 D/C DSL FULL
GTZL-51;CAMIONETA;TOYOTA;HILUX  F#5
CFKR-58;AUTOMOVIL;SUZUKI;ALTO 800 GL
HTHL-59;CAMIONETA;DFSK;TRUCK DCAB 1.5
BVTF-39;AUTOMOVIL;SUZUKI;ALTO 800 GL
FYGT-40;STATION WAGON;DONGFENG;H30 CROSS NOBLE MT
FFGR-28;CAMIONETA;CHEVROLET;D-MAX E4 CC 2.5D 4WD DAB
GRYY-16;STATION WAGON;HONDA;CR-V EXL 2.4 AUT 4X4
DZBK-20;MINIBUS PARTICULAR;VOLKSWAGEN;TRANSPORTER KOMBI (3+3+3)
GTTK-12;CAMIONETA;MITSUBISHI;L200 KATANA CRT
BDKG-98;CAMIONETA;SSANGYONG;A.SPORTS 4X2 AC
DVJK-94;AUTOMOVIL;CHEVROLET;AVEO III HB 5P 1.4 BASE
HTYW-58;STATION WAGON;BRILLIANCE;V5 1.5TMT SPORT TURBO E5
GGZZ-59;CAMIONETA;FIAT;STRADA 1.6 D/C MT ADVENTU
GTYF-82;STATION WAGON;RENAULT;DUSTER EXPRESSION 4X2 MT
CBPH-42;CAMIONETA;GREAT WALL;DEER 4X2 SE
GDBG-15;AUTOMOVIL;HYUNDAI;I-10 1.1 FL GLS
DZVS-68;AUTOMOVIL;SUZUKI;ALTO 800 GL2
CJCK-32;CAMIONETA;NISSAN;TERRANO PICK UP DXS
FZGX-47;AUTOMOVIL;HYUNDAI;I-10 1.1 FL GLS (BASE)
CGPL-65;CAMIONETA;GREAT WALL;DEER 4X2 SC
DBHK-63;CAMIONETA;NISSAN;TERRANO PICK UP DXS
FLCC-52;CAMIONETA;KIA MOTORS;FRONTIER CHC 2.5 CRDI MEC
HSRL-61;AUTOMOVIL;NISSAN;MARCH ACTIVE MT
HSRP-63;STATION WAGON;FORD;ECOSPORT TITANIUM 1.6L
FBLZ-60;CAMIONETA;CHEVROLET;D-MAX E4 CC 2.5D WT
HCFF-74;CAMIONETA;TOYOTA;HILUX  F#5GPS
GGFS-55;STATION WAGON;CITROEN;BERLINGO MULTISPACE HDI 1
HLTB-42;AUTOMOVIL;BYD;F0 G-I 1.0 EV
CRVZ-53;AUTOMOVIL;SUZUKI;ALTO K10 1.0 DLX
BKKY-81;AUTOMOVIL;KIA MOTORS;MORNING II EX 5DR 1.1 DH
JDXC-27;AUTOMOVIL;VOLKSWAGEN;VOYAGE 1.6
BKTX-56;STATION WAGON;SUZUKI;GRAND VITARA GLX
CGZB-31;CAMIONETA;KIA MOTORS;FRONTIER DC 2.5 CRDI MEC
GKJP-91;AUTOMOVIL;CHEVROLET;SAIL E5 NB 1.4 LT
FFCH-26;AUTOMOVIL;SUZUKI;ALTO 800 GL2
GTTT-82;STATION WAGON;MAHINDRA;SCORPIO SUV 4X4 CRDE EV
JBWY-91;STATION WAGON;FORD;ECOSPORT TITANIUM 1.6L
CBPD-99;AUTOMOVIL;KIA MOTORS;MORNING II LX 5DR 1.1 DH
HFRZ-81;AUTOMOVIL;CHEVROLET;SPARK GT E5 1.2 MT LT BT
GBRW-15;CAMIONETA;MAHINDRA;PIK-UP XL D/C 4X4 EIV
CKKF-71;CAMIONETA;TOYOTA;HILUX DIESEL 4X4 A/A
BZSH-43;STATION WAGON;TOYOTA;ADVANTAGE RAV4 4X2
BKCV-65;CAMIONETA;MAZDA;BT-50 DC 4X2 DX
HTZC-24;AUTOMOVIL;FIAT;UNO WAY 1.4 EVO 5P
CKPP-53;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRL 4X
DDZS-12;FURGON;PEUGEOT;PARTNER M59 HDI 1.6 DA AA
BPPB-94;CAMIONETA;NISSAN;TERRANO PICK UP/DXS
DRZC-21;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4 FULL
DCCZ-23;CAMIONETA;MAZDA;BT-50 2.5 DC SDX ABS MT 4
FGGF-72;CAMIONETA;SSANGYONG;NEW A.SPORTS 4X2 2AB ABS
HCHG-30;AMBULANCIA;VOLKSWAGEN;CRAFTER 35 MWB NR AA
GYPJ-46;MINIBUS PARTICULAR;NISSAN;NV350 S-LONG DX MT 12 PSJ
FYYY-72;AMBULANCIA;TOYOTA;HILUX 4X4 2.5
GBSC-41;CAMIONETA;NISSAN;TERRANO DXS TURBO DSEL 4X
FTSK-31;CAMIONETA;NISSAN;TERRANO DX TURBO DIESEL 4
BSYV-54;CAMIONETA;MAZDA;BT-50 DC 4X2 DX
BSTG-76;STATION WAGON;DAIHATSU;TERIOS 4X2 LUJO ABS AA
FTSK-32;CAMIONETA;NISSAN;TERRANO DX TURBO DIESEL 4
DWPK-50;CAMIONETA;NISSAN;NAVARA SE 4X4 LSD
DTCV-56;CAMIONETA;NISSAN;TERRANO 4X2 CUBRE PIK UP
GWKT-30;CAMIONETA;MITSUBISHI;L200 KATANA CR
HVLS-14;AUTOMOVIL;CHEVROLET;CRUZE NB LS 1.8 MT
DBDT-35;CAMIONETA;NISSAN;TERRANO 4X2 CUBRE PIK UP
BVTL-11;AUTOMOVIL;HYUNDAI;GETZ FL 1.4 GL 2AB
FTBW-89;CAMIONETA;MAHINDRA;GENIO PU SC 4X2 MT FULL C
HTZJ-70;CAMIONETA;FORD;RANGER DIESEL 4X4 XLT
CKPL-48;CAMIONETA;FORD;RANGER XLT 4X4 2.5L DSL
FLJR-79;AUTOMOVIL;SUZUKI;ALTO K10 1.0 GL
HCVH-76;CAMIONETA;MAHINDRA;PIK-UP DC 4X4 FULL E5
BCFW-92;AUTOMOVIL;SUZUKI;ALTO DLX
HBVV-65;AUTOMOVIL;SUZUKI;ALTO 800 GL
CLYG-13;JEEP;SUZUKI;GRAND VITARA GLX SPORT
HHKR-11;CAMIONETA;MITSUBISHI;L200 KATANA CRM
HHRK-52;CAMIONETA;KIA MOTORS;FRONTIER CHC 2.5 CRDI MEC
HFVF-13;CAMIONETA;MITSUBISHI;L200 KATANA CRT
FRYC-62;STATION WAGON;MAHINDRA;SCORPIO SUV 4X4 CRDE FULL
BCXL-69;AUTOMOVIL;HYUNDAI;ACCENT MC 1.6 GLS
CFLZ-79;CAMIONETA;NISSAN;TERRANO DX TDI 4X4 SV
CJTZ-78;CAMIONETA;CHEVROLET;D-MAX TH CC 3.0D 4WD DAB
HSRD-99;CAMIONETA;TOYOTA;NEW HILUX AT-EG10 SRV
DTCV-85;AUTOMOVIL;BRILLIANCE;FRV COMFORTABLE HB 1.5L
FDDW-41;STATION WAGON;KIA MOTORS;SPORTAGE LX MEC AB ABS 4X
DZVT-70;CAMIONETA;GREAT WALL;WINGLE 5 2.0 DIESEL ABP
BSKT-21;CAMIONETA;NISSAN;TERRANO DX TDI 4X4 SV
DGXW-84;CAMIONETA;NISSAN;TERRANO DX 4X2
GYPJ-45;FURGON;NISSAN;NV350 LONG DX MT
HYBH-52;STATION WAGON;BRILLIANCE;V3 SUV 1.5 MT 4X2 G ELT
GFVR-65;CAMIONETA;MITSUBISHI;L200 KATANA CRT
FKKC-31;STATION WAGON;MAHINDRA;SCORPIO SUV 4X2 CRDE
HRDK-92;CAMIONETA;HYUNDAI;PORTER STDTD CHASSIS PS
JDWT-34;AUTOMOVIL;HYUNDAI;EON HA 5DR 0.8 5M/T GL
HZZJ-52;CAMIONETA;MAHINDRA;PIK-UP XL D/C 4X2 2AB ABS
CGPT-53;STATION WAGON;DAIHATSU;TERIOS 4X2 LUJO ABS AA
BBHF-72;FURGON;PEUGEOT;PARTNER M59 HDI 1.6 DA
BHDZ-52;CAMIONETA;NISSAN;TERRANO AX 4X2 D/C
FZSV-76;AUTOMOVIL;CHEVROLET;SPARK GT II 1.2 MT LT BT
FDFF-24;CAMIONETA;NISSAN;TERRANO DXS D CAB 4X4 2.5
CKVD-97;FURGON;FIAT;FIORINO
GJSW-64;STATION WAGON;HYUNDAI;SANTA FE DM2.2 CRDI GLS 2
GRZW-53;CAMIONETA;FORD;RANGER DIESEL 4X4 XLT
DLHY-86;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4 FULL
DZBZ-81;CAMIONETA;NISSAN;TERRANO DX TURBO DIESEL 4
FXPV-15;CAMIONETA;HYUNDAI;PORTER STDTD CHASSIS PS
BZFK-31;CAMIONETA;HYUNDAI;PORTER HR STD PS ELWBDVAN
FPFZ-30;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4
DLZG-65;CAMIONETA;CHEVROLET;D-MAX E4 CC 2.5D 4WD DAB
BTVP-19;STATION WAGON;FORD;EXPLORER XLT 4X2 COMFORT
DPPZ-58;STATION WAGON;MAHINDRA;SCORPIO SUV 4X2 CRDE
BVDJ-91;CAMIONETA;NISSAN;TERRANO PICK UP/DXS
CRVZ-89;STATION WAGON;HYUNDAI;NEW TUCSON LM 2.0 CRDI GL 2WD
BXBL-63;AUTOMOVIL;SUZUKI;MARUTI GL
CCFJ-33;STATION WAGON;SUZUKI;JIMNY 1.3 JLX SPORT
FSRS-82;STATION WAGON;NISSAN;X-TRAIL  X 4X4  6AB
DCGW-11;CAMIONETA;NISSAN;TERRANO DX TDI 4X4
CBLL-93;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRM 4X
DKPK-53;CAMIONETA;MITSUBISHI;L200 D/C TD DAKAR CRS MT
CYXF-20;CAMIONETA;MAHINDRA;PIK UP XL D/C 4X4 CRDE
CKWC-44;CAMIONETA;TATA;XENON 2.2 LHD 4X4
CBPV-31;STATION WAGON;CHEVROLET;CAPTIVA LS 2.4L 6AB
CDVY-80;AUTOMOVIL;TOYOTA;URBAN CRUISER
BLPJ-76;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRM 4X
CLFY-89;AUTOMOVIL;TOYOTA;YARIS SPORT XLI DAB
BKTX-61;STATION WAGON;FORD;ECOSPORT XLS
GVYX-83;AUTOMOVIL;SUZUKI;CELERIO 1.0 GA
DJDG-98;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4
CRBJ-26;CAMIONETA;CHEVROLET;D-MAX TH CC 3.0D 4WD DAB
CVSV-63;STATION WAGON;KIA MOTORS;SPORTAGE LX MEC AC DAB AB
FCJR-49;CAMIONETA;CHEVROLET;D-MAX E4 CC 2.5D 4WD DAB
FRGV-46;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4 FULL
DVKZ-38;FURGON;HYUNDAI;NEW H-1 FURGON GL CRDI 3S
FKWJ-55;CAMIONETA;KIA MOTORS;FRONTIER CHC 2.5 CRDI MEC
FZVZ-72;CAMIONETA;NISSAN;NAVARA SE 4X4
DDFK-17;FURGON;CITROEN;BERLINGO C VU HDI 92 BVM
FDGR-97;FURGON;CITROEN;BERLINGO B9 VU HDI 90 COR
BYDG-55;STATION WAGON;DAIHATSU;TERIOS 4X2 XL T2D11
BGCJ-55;STATION WAGON;LAND ROVER;RANGE ROVER SPORT V8 S/C
CPTL-59;AUTOMOVIL;CHEVROLET;SPARK GT HB 1.2 MT LT SPO
CCFY-54;CAMIONETA;NISSAN;TERRANO PICK UP/DXS
DFDH-81;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRT 4X
DXXW-96;STATION WAGON;JEEP;WRANGLER UNLIMITED SAHARA
HBSX-52;STATION WAGON;HYUNDAI;TUCSON LM P/E 5DR CRDI GL
FFWL-95;CAMIONETA;CHEVROLET;COLORADO II CC 3.7 4WD AT
DCWC-90;AUTOMOVIL;SUZUKI;ALTO 800 GL2
HGSB-76;AUTOMOVIL;CHEVROLET;SAIL II NB 1.4
CWCR-39;CAMIONETA;TATA;XENON 2.2 LHD 4X4
BGRT-98;AUTOMOVIL;MITSUBISHI;LANCER R/GT
CDTZ-69;CAMIONETA;TOYOTA;4RUNNER LIMITED 4X4
DBKX-29;CAMIONETA;FIAT;STRADA 1.4 C/EXT MT WORKI
GSTR-19;CAMIONETA;NISSAN;NAVARA SE 4X4
FLBF-61;CAMIONETA;TOYOTA;TUNDRA  4X4
BGJZ-73;JEEP;JEEP;COMMANDER SPORT 3.7
CDWS-43;STATION WAGON;B.M.W.;X5 XDRIVE 48I
CRGS-77;CAMIONETA;TOYOTA;HILUX DIESEL 4X2 A/A
DCVS-61;AUTOMOVIL;KIA MOTORS;RIO JB EX 5D DH DAB
GTTZ-96;CAMIONETA;SSANGYONG;A.SPORTS 4X4 AC
FJHP-29;CAMIONETA;CHEVROLET;D-MAX E4 CC 2.5D 4WD DA A
CJWX-66;AUTOMOVIL;SUZUKI;SWIFT 1.3 GA
DLCT-45;STATION WAGON;JAC;REIN II 2.0 4X2 CE
FVJH-75;AUTOMOVIL;CHEVROLET;SPARK GT HB 1.2 MT LT AC
HRPX-14;STATION WAGON;HONDA;PILOT EXL 3.5 AUT 4X4
BHTF-87;STATION WAGON;SUZUKI;GRAND NOMADE 2.0 GLX 4X4
DPLB-31;CAMIONETA;TOYOTA;HILUX DIESEL 4X2 A/A
GKPD-18;AUTOMOVIL;CHEVROLET;OPTRA II LS NB 1.6 MT AC
GXPW-76;CAMIONETA;DODGE;RAM 5.7 1500 SPORT REG CA
HGSH-36;STATION WAGON;SUZUKI;JIMNY 1.3 JLX
FHFW-58;AUTOMOVIL;KIA MOTORS;MORNING EX 1.2 MT DH AB
BTXF-46;CAMIONETA;MAZDA;BT-50 2.5 CS 4X2 FULL
DYWY-24;STATION WAGON;HYUNDAI;SANTA FE FL CM 2.4 GLS 2W
JGRW-31;MINIBUS;HYUNDAI;H-1 MS 2.5 CRDI 6M/T GLS 10S AC 2AB
CHWV-65;CAMIONETA;NISSAN;TERRANO AXS TURBO DSL 4X2
DDDB-20;BUS;MERCEDES BENZ;SPRINTER 413 CDI
BHVS-69;MINIBUS;MERCEDES BENZ;SPRINTER 313 CDI 15
HSGY-32;MINIBUS;TOYOTA;HIACE COMMUTER 3.0
DPJG-60;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRT 4X
HBXR-59;BUS;MERCEDES BENZ;SPRINTER 515 CDI
BYTF-92;MINIBUS;JAC;REFINE 2.8 MB 12P SE DIESEL
BDDP-69;AMBULANCIA;DODGE;RAM QUAD CAB LARAMIE 4X4
BDLB-96;AUTOMOVIL;HYUNDAI;GETZ FL 1.4 GL 2AB 3P
BVSV-74;MINIBUS;HYUNDAI;NEW H-1 GL 2500
GKPD-18;AUTOMOVIL;CHEVROLET;OPTRA II LS NB 1.6 MT AC
DXVB-50;CAMIONETA;NISSAN;TERRANO PICK UP DXS
GBRW-15;CAMIONETA;MAHINDRA;PIK-UP XL D/C 4X4 EIV
BYJD-21;CAMIONETA;NISSAN;TERRANO PICK UP/DXS
CFLZ-79;CAMIONETA;NISSAN;TERRANO DX TDI 4X4 SV
FTSK-32;CAMIONETA;NISSAN;TERRANO DX TURBO DIESEL 4
FTSK-31;CAMIONETA;NISSAN;TERRANO DX TURBO DIESEL 4
CCXB-31;AUTOMOVIL;CHEVROLET;CORSA III HB 5P 1.6 AC
JTCV-30;TRACTOR;SONALIKA;DI 26 4WD
JCJB-39;CAMIONETA;FORD;RANGER DIESEL 4X4 XL
DLBX-82;CAMIONETA;NISSAN;TERRANO DX TURBO DIESEL 4
BVTJ-74;CAMIONETA;CHANGAN;S100
HVWV-32;STATION WAGON;SUBARU;FORESTER 2.0 DSL AWD CVT
CRBJ-26;CAMIONETA;CHEVROLET;D-MAX TH CC 3.0D 4WD DAB
CTVY-63;CAMIONETA;NISSAN;TERRANO PICK UP DXS
CCFJ-33;STATION WAGON;SUZUKI;JIMNY 1.3 JLX SPORT
HTZC-24;AUTOMOVIL;FIAT;UNO WAY 1.4 EVO 5P
BKTX-61;STATION WAGON;FORD;ECOSPORT XLS
CFYT-21;CAMIONETA;DODGE;DAKOTA QUAD CAB LARAMIE 4
FPKL-79;STATION WAGON;FORD;ECOSPORT TITANIUM 1.6L
HTYW-58;STATION WAGON;BRILLIANCE;V5 1.5TMT SPORT TURBO E5
GXPW-76;CAMIONETA;DODGE;RAM 5.7 1500 SPORT REG CA
JVCX-37;CAMIONETA;TOYOTA;HILUX 2.7 TM 4X2
FPBD-45;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4 FULL
HGSR-65;CAMIONETA;FIAT;STRADA 1.4 D/C MT WORKING
DDZS-12;FURGON;PEUGEOT;PARTNER M59 HDI 1.6 DA AA
CZZH-45;CAMIONETA;CHEVROLET;D-MAX TH CC 3.0D 4WD DAB
FVRG-96;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X2 FULL
DWZV-13;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4
FCJR-49;CAMIONETA;CHEVROLET;D-MAX E4 CC 2.5D 4WD DAB
FRGV-46;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4 FULL
FJHP-29;CAMIONETA;CHEVROLET;D-MAX E4 CC 2.5D 4WD DA A
CSCP-34;CAMIONETA;TOYOTA;HILUX DIESEL 4X2 A/A
BDKG-98;CAMIONETA;SSANGYONG;A.SPORTS 4X2 AC
HVJJ-74;STATION WAGON;TOYOTA;RAV4 SUPER LUJO 4X4 724ML
FVRH-56;CAMIONETA;HUANGHAI;STEED 2.2
JGJZ-64;STATION WAGON;GREAT WALL;HAVAL NEW H3 2.0
CFKR-58;AUTOMOVIL;SUZUKI;ALTO 800 GL
CKPL-48;CAMIONETA;FORD;RANGER XLT 4X4 2.5L DSL
HTZJ-70;CAMIONETA;FORD;RANGER DIESEL 4X4 XLT
HTHL-59;CAMIONETA;DFSK;TRUCK DCAB 1.5
GXVW-86;CAMIONETA;MITSUBISHI;L200 KATANA CRT
HZZJ-52;CAMIONETA;MAHINDRA;PIK-UP XL D/C 4X2 2AB ABS
GRYZ-29;STATION WAGON;SUZUKI;APV MINVAN EURO4
FZGX-47;AUTOMOVIL;HYUNDAI;I-10 1.1 FL GLS (BASE)
DRTR-56;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4
CFDR-64;STATION WAGON;SUZUKI;GRAND NOMADE GLX SPORT 4X
DWPK-50;CAMIONETA;NISSAN;NAVARA SE 4X4 LSD
JBWY-91;STATION WAGON;FORD;ECOSPORT TITANIUM 1.6L
HBVD-76;CAMIONETA;MAHINDRA;GENIO PU DC 4X4 MT FULL C
JDXC-27;AUTOMOVIL;VOLKSWAGEN;VOYAGE 1.6
CFVP-83;CAMIONETA;TOYOTA;TUNDRA  4X4
DBHK-63;CAMIONETA;NISSAN;TERRANO PICK UP DXS
DVJK-94;AUTOMOVIL;CHEVROLET;AVEO III HB 5P 1.4 BASE
CJWX-66;AUTOMOVIL;SUZUKI;SWIFT 1.3 GA
DJDG-98;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4
GSTR-19;CAMIONETA;NISSAN;NAVARA SE 4X4
CLFY-89;AUTOMOVIL;TOYOTA;YARIS SPORT XLI DAB
GWKT-30;CAMIONETA;MITSUBISHI;L200 KATANA CR
HBSX-52;STATION WAGON;HYUNDAI;TUCSON LM P/E 5DR CRDI GL
FKKC-31;STATION WAGON;MAHINDRA;SCORPIO SUV 4X2 CRDE
DKPK-53;CAMIONETA;MITSUBISHI;L200 D/C TD DAKAR CRS MT
FWWH-61;CAMIONETA;CHEVROLET;D-MAX E4 CC 2.5D 4WD DAB
BLPJ-76;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRM 4X
BPPB-94;CAMIONETA;NISSAN;TERRANO PICK UP/DXS
DCGW-11;CAMIONETA;NISSAN;TERRANO DX TDI 4X4
DPLB-31;CAMIONETA;TOYOTA;HILUX DIESEL 4X2 A/A
JDWT-34;AUTOMOVIL;HYUNDAI;EON HA 5DR 0.8 5M/T GL
FDDW-41;STATION WAGON;KIA MOTORS;SPORTAGE LX MEC AB ABS 4X
BVKF-21;CAMIONETA;NISSAN;NAVARA 4X2 D/C DSL FULL
DKCF-76;CAMION;CHEVROLET;NKR 613
BKYJ-31;MAQUINA INDUSTRIAL;CATERPILLAR;120 M
FFWL-95;CAMIONETA;CHEVROLET;COLORADO II CC 3.7 4WD AT
BTVP-19;STATION WAGON;FORD;EXPLORER XLT 4X2 COMFORT
GVYX-83;AUTOMOVIL;SUZUKI;CELERIO 1.0 GA
GRYY-16;STATION WAGON;HONDA;CR-V EXL 2.4 AUT 4X4
BFJS-48;STATION WAGON;JEEP;COMPASS SPORT 4X4
CBLL-93;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRM 4X
